SRS Substance ID,Radionuclide,Manufacturer,Model,Serial number,Physical form,Chemical form,Initial activity,Initial activity date,Device ID,Device type,Device manufacturer,Device model,Device serial number,Location (Storage),Location (Use),Location (Relocating to)
I-AT43088," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-1329,,, 23.3 kBq, 02-MAY-1996, D43090, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC893, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43089," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-3014,,, 359.6 kBq, 17-SEP-2001, D43090, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC893, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43091," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-2040,,, 348.5 kBq, 19-SEP-1997, D43094, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC1760, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43092," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", CIS bio international, CSG10,A-2041,,, 347.7 kBq, 19-SEP-1997, D43094, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC1760, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43104," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,I9-911,, Caesium Salt, 351.5 KBQ, 01-APR-2012, D43108, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5921, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43105," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,I9-912,, Caesium Salt, 357.5 kBq, 01-APR-2012, D43108, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5921, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43101," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,E4-073,, Caesium Salt, 351.5 kBq, 01-JUL-2007, D43100, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,HRGD-H4967, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53909," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,J1-843,,, 351.5 KBQ, 01-MAY-2012, D53911, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5922, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53910," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,J1-842,,, 351.5 KBQ, 01-MAY-2012, D53911, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5922, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53912," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,E3-236,,, 351.5 KBQ, 01-JUN-2007, D53916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4944R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53913," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, A3916-1,E3-237,,, 22.2 KBQ, 01-JUL-2007, D53916, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,4944R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43106," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, Unknown Cs137 Model,TX686,, Caesium Salt, 22.2 KBQ, 08-MAR-2012, D43108, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5921, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43107," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", Eckert & Ziegler Isotope Products, Unknown Cs137 Model,UA258,, Caesium Salt, 333 KBQ, 30-NOV-2011, D43108, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5921, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43102," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", QSA Global, unknown Cs137 model,PA198,, Caesium Salt, 333 kBq, 12-JUN-2007, D43100, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,HRGD-H4967, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43103," Cs-137 Sealed radioactive substances incorporated, or to be incorporated, in borehole logging appara", QSA Global, unknown Cs137 model,PA215,, Caesium Salt, 22.2 kBq, 13-JUN-2007, D43100, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,HRGD-H4967, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
AT10189, Cs137 - Sealed radioactive substance, 3M, UNKNOWN MODEL - CS137-H,GSR-J3739,,, 64 GBQ, 16-APR-1998, Unknown, Unknown, Unknown,Unknown,Unknown,, Throughout Queensland,
AT14666, Cs137 - Sealed radioactive substance, AEA Technologies (UK), CDC.PLS,HW484,,, 18.5 kBq, 19-JUN-2001, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive,," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
S53537, Cs137 - Sealed radioactive substance, AEA Technology, CDRB10276,MP570,,, 333 KBQ, 01-AUG-2004, D52489, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD,HRGD3898, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43851, Cs137 - Sealed radioactive substance, AEA Technology, unknown Cs137 model,NB617,,, 333 kBq, 09-MAR-2005, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S43852, Cs137 - Sealed radioactive substance, AEA Technology, unknown Cs137 model,NB639,,, 22.2 kBq, 10-FEB-2005, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT43095, Cs137 - Sealed radioactive substance, AEA Technology, unknown Cs137 model,MG-437,,, 22.2 kBq, 03-FEB-2004, D43094, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,HRGD-BC1760, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S52934, Cs137 - Sealed radioactive substance, AEA Technology, unknown Cs137 model,MP574,, Caesium Ceramic, 333 KBQ, 01-AUG-2004, D52933, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,813R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
AT14667, Cs137 - Sealed radioactive substance, Amersham, CDC.PLS,FW466,,, 9.25 kBq, 12-FEB-1998, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland," Schlumberger Technology Corporation, 23500 Colonial Parkway, Katy TEXAS"
AT10188, Cs137 - Sealed radioactive substance, Amersham, UNKNOWN MODEL - CS137-H,GSR-J3820, [[{Physical Form}]],, 64 GBq, 01-NOV-1998, Unknown, Unknown, Unknown,Unknown,Unknown, ROMA - Southern Rd, Throughout Queensland,
S52935, Cs137 - Sealed radioactive substance, CIS bio international, unknown Cs-137 model,1281,, Caesium Ceramic, 23.3 KBQ, 04-APR-1996, D52933, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,813R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S53906, Cs137 - Sealed radioactive substance, CIS bio international, unknown Cs-137 model,3277,,, 348.2 KBQ, 25-OCT-2001, D53713, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,3732R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT53712, Cs137 - Sealed radioactive substance, CIS bio international, unknown Cs-137 model,3010,,, 19.9 KBQ, 31-DEC-2001, D53713, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,3732R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
I-AT52932, Cs137 - Sealed radioactive substance, CIS bio international, unknown Cs-137 model,1177,, Caesium Ceramic, 343.2 KBQ, 15-MAR-1996, D52933, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-BC,813R, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S49160, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3016,I8-978, Solid, Caesium Ceramic, 37 KBQ, 13-FEB-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S28043, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,H3-100, Solid, Sulphate, 2.22 KBQ, 15-AUG-2010, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S28073, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,D6-419, Solid, Sulphate, 3.1 kBq, 01-OCT-2006, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S28074, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,G1-253, Solid, Sulphate, 3.11 KBQ, 01-MAY-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S28075, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,H4-114, Solid, Sulphate, 2.22 kBq, 01-OCT-2010, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S34890, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,H3-101,,,,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S34892, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,F9-738,,,,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, At the client sites in the oil/gas/mining industries throughout Queensland.,
S34894, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products,3888,GI-259,, Caesium Ceramic, 3.1 kBq, 01-MAY-2009, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, At the client sites in the oil/gas/mining industries throughout Queensland.,
S48259, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3024,77-9562, Solid, Caesium Chloride, 310.8 MBQ, 14-JAN-2010, D48258, Portable Soil density/moisture gauge, Troxler,3440,62988," ROBINA, QLD 4226 - 3 Moorabbin Place", At the client sites in the oil/gas/mining industries throughout Queensland.,
I-AT29889, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,E1-798, Solid, Caesium Ceramic, 33.33 kBq, 15-FEB-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT32869, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,B8-937,,, 33.3 kBq, 11-AUG-2004, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
I-AT29999, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,I2-082, Solid, Caesium Ceramic, 33.33 KBQ, 14-JUN-2011, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S41141, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,B8-432,,, 33.33 kBq, 28-JUN-2004, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, - Throughout Queensland,
I-AT36029, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,D4-130,,, 33.3 kBq, 15-JAN-2006, D37701, Borehole logging tool, Schlumberger Australia Pty Ltd,ADSE,331, 73 Beaumont Drive, Throughout Queensland,
S37694, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,E5-696,, Caesium Ceramic, 33.3 kBq, 01-OCT-2007, D37695, Borehole logging tool, Schlumberger Australia Pty Ltd,ADSE,341, 73 Beaumont Drive, Throughout Queensland,
S37696, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,E4-291,, Ceramic Matrix, 33.3 kBq, 15-FEB-2004, D37697, Borehole logging tool, Schlumberger Australia Pty Ltd,ADSE,320, 73 Beaumont Drive, Throughout Queensland,
S37698, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,L1-532,, Ceramic Matrix, 33.3 kBq, 01-FEB-2014, D37699, Borehole logging tool, Schlumberger Australia Pty Ltd,ADSE,329, 73 Beaumont Drive, Throughout Queensland,
I-AT37211, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3201-4,B6-300, Solid, Caesium Ceramic, 3.33 kBq,, Unknown, Unknown, Unknown,Unknown,Unknown, 73 Beaumont Drive, Throughout Queensland,
S35007, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,K7-065,, Caesium Chloride, 351.5 kBq, 15-SEP-2013, D41919, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5996, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S35006, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,K7-046,, Caesium Chloride, 351.5 kBq, 15-SEP-2013, D41919, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,5996, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S35538, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,AD5547,,, 22.2 kBq, 11-FEB-2014, D41917, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,6703, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S35539, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,AD5601,,, 333 kBq, 07-MAR-2014, D41917, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,6703, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S35540, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,L2-983,,, 351.5 kBq, 01-APR-2014, D41917, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,6703, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S35541, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,L2-984,,, 351.5 kBq, 01-APR-2014, D41917, Borehole logging tool, Schlumberger Australia Pty Ltd,HRGD-H,6703, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42370, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,K5-494,,, 351.5 kBq, 01-JUL-2013, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S43849, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,J8-483,,, 351.5 kBq, 15-DEC-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S43850, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,J8-484,,, 351.5 KBQ, 15-DEC-2012, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S42029, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E4-074, Solid, Caesium Salt, 351.5 kBq, 01-JUL-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41688, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-710,,, 37 kBq, 15-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41689, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E4-235,, Caesium Salt, 37 KBQ, 07-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41690, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E4-234, Solid, Caesium Salt, 37 KBQ, 07-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41691, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E1-473,,, 37 kBq, 01-FEB-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41693, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-732,,, 37 kBq, 15-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S41694, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E5-726,,, 37 kBq, 15-SEP-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S36051, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,D8-090,,, 111 kBq, 01-DEC-2006, D41920, Borehole logging tool, Schlumberger Australia Pty Ltd,SLDS,35, ROMA - Store Southern Road, Throughout Queensland,
S36052, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,D8-091,,, 111 kBq, 01-DEC-2006, D41920, Borehole logging tool, Schlumberger Australia Pty Ltd,SLDS,35, ROMA - Store Southern Road, Throughout Queensland,
S36053, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E1-467,,, 37 kBq, 01-FEB-2007, D41920, Borehole logging tool, Schlumberger Australia Pty Ltd,SLDS,35, ROMA - Store Southern Road, Throughout Queensland,
S47429, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,P3-083, Solid, Caesium Salt, 37 KBQ, 15-FEB-2017, Unknown, Unknown, Unknown,Unknown,Unknown,, Throughout Queensland,
S38490, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,E7-620,,, 111 kBq, 14-NOV-2007, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455,,
S38491, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,A7-564,,, 111 kBq, 01-OCT-2002, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
S38492, Cs137 - Sealed radioactive substance, Eckert & Ziegler Isotope Products, A3916-1,A9-429,,, 37 kBq, 01-FEB-2003, Unknown, Unknown, Unknown,Unknown,Unknown, 85 Duke Street ROMA QLD 4455, Throughout Queensland,
